,Lat,Lon,FINAL_SEAMS_ZONE
480,42.461999999999996,-92.661,CBPC-NIPCO
493,42.461999999999996,-92.661,CBPC-NIPCO
525,42.461999999999996,-92.661,CBPC-NIPCO
601,42.461999999999996,-92.661,CBPC-NIPCO
602,42.461999999999996,-92.661,CBPC-NIPCO
479,42.738,-93.581,CBPC-NIPCO
480,42.738,-93.581,CBPC-NIPCO
501,42.738,-93.581,CBPC-NIPCO
509,42.738,-93.581,CBPC-NIPCO
556,42.738,-93.581,CBPC-NIPCO
479,43.243,-93.285,CBPC-NIPCO
479,43.365,-95.647,MN-NE
513,43.365,-95.647,MN-NE
615,43.365,-95.647,MN-NE
1232,43.365,-95.647,MN-NE
1241,43.365,-95.647,MN-NE
479,43.402,-94.87700000000001,MN-NE
481,43.402,-94.87700000000001,MN-NE
1232,43.402,-94.87700000000001,MN-NE
479,43.413999999999994,-94.37,MN-NE
481,43.413999999999994,-94.37,MN-NE
518,43.413999999999994,-94.37,MN-NE
519,43.413999999999994,-94.37,MN-NE
520,43.413999999999994,-94.37,MN-NE
1232,43.413999999999994,-94.37,MN-NE
479,43.45399999999999,-94.36,MN-NE
481,43.45399999999999,-94.36,MN-NE
518,43.45399999999999,-94.36,MN-NE
519,43.45399999999999,-94.36,MN-NE
520,43.45399999999999,-94.36,MN-NE
1232,43.45399999999999,-94.36,MN-NE
479,43.456,-92.772,MN-NE
504,43.456,-92.772,MN-NE
1228,43.456,-92.772,MN-NE
479,43.479,-95.165,MN-NE
481,43.479,-95.165,MN-NE
621,43.479,-95.165,MN-NE
622,43.479,-95.165,MN-NE
1232,43.479,-95.165,MN-NE
479,43.503,-95.20100000000001,MN-NE
1232,43.503,-95.20100000000001,MN-NE
480,41.336999999999996,-90.81700000000001,MEC
480,42.373999999999995,-92.14,CBPC-NIPCO
487,42.373999999999995,-92.14,CBPC-NIPCO
493,42.373999999999995,-92.14,CBPC-NIPCO
580,42.373999999999995,-92.14,CBPC-NIPCO
581,42.373999999999995,-92.14,CBPC-NIPCO
480,40.678000000000004,-95.69,MEC
480,41.227,-93.266,MEC
480,41.408,-93.31,MEC
480,41.48,-93.565,MEC
491,41.48,-93.565,MEC
589,41.48,-93.565,MEC
480,41.488,-93.66,MEC
491,41.488,-93.66,MEC
589,41.488,-93.66,MEC
480,41.508,-93.27799999999999,MEC
480,41.613,-93.602,MEC
480,41.675,-93.766,MEC
480,41.683,-93.699,MEC
480,41.739,-93.85700000000001,MEC
480,41.765,-95.837,MN-C
545,41.765,-95.837,MN-C
548,41.765,-95.837,MN-C
480,42.646,-94.288,CBPC-NIPCO
482,42.646,-94.288,CBPC-NIPCO
613,42.646,-94.288,CBPC-NIPCO
614,42.646,-94.288,CBPC-NIPCO
480,42.728,-94.197,CBPC-NIPCO
482,42.728,-94.197,CBPC-NIPCO
613,42.728,-94.197,CBPC-NIPCO
614,42.728,-94.197,CBPC-NIPCO
491,41.198,-93.667,IA-E
589,41.198,-93.667,NA
627,43.407,-88.167,MN-NE
2790,43.407,-88.167,MN-NE
2791,43.407,-88.167,MN-NE
2817,43.407,-88.167,MN-NE
2877,43.407,-88.167,MN-NE
680,38.448,-89.611,IL-C
694,38.448,-89.611,NA
680,38.518,-88.796,IL-C
682,38.518,-88.796,IL-C
694,38.518,-88.796,IL-C
680,38.585,-87.68700000000001,IL-C
685,38.585,-87.68700000000001,NA
680,38.615,-88.721,IL-C
682,38.615,-88.721,IL-C
719,38.615,-88.721,IL-C
680,38.623000000000005,-87.891,IL-C
685,38.623000000000005,-87.891,NA
680,38.658,-87.75200000000001,IL-C
685,38.658,-87.75200000000001,NA
680,38.665,-89.381,IL-C
682,38.665,-89.381,IL-C
689,38.665,-89.381,IL-C
713,38.665,-89.381,IL-C
680,38.674,-89.50299999999999,IL-C
682,38.674,-89.50299999999999,IL-C
689,38.674,-89.50299999999999,IL-C
713,38.674,-89.50299999999999,IL-C
680,38.696999999999996,-87.715,IL-C
685,38.696999999999996,-87.715,NA
680,38.719,-89.59299999999999,IL-C
682,38.719,-89.59299999999999,IL-C
689,38.719,-89.59299999999999,IL-C
713,38.719,-89.59299999999999,IL-C
680,38.738,-89.603,IL-C
682,38.738,-89.603,IL-C
689,38.738,-89.603,IL-C
680,38.82,-87.745,IL-C
685,38.82,-87.745,NA
680,38.857,-87.729,IL-C
685,38.857,-87.729,NA
680,39.104,-89.152,IL-C
682,39.104,-89.152,IL-C
680,39.2,-89.531,IL-C
682,39.2,-89.531,IL-C
697,39.2,-89.531,IL-C
680,39.289,-89.641,IL-C
682,39.289,-89.641,IL-C
703,39.289,-89.641,IL-C
680,39.309,-88.819,IL-C
682,39.309,-88.819,IL-C
690,39.309,-88.819,IL-C
680,39.334,-89.60700000000001,IL-C
682,39.334,-89.60700000000001,IL-C
703,39.334,-89.60700000000001,IL-C
680,39.374,-87.704,IL-C
701,39.374,-87.704,NA
680,39.397,-89.469,IL-C
690,39.397,-89.469,NA
680,39.427,-88.145,IL-C
704,39.427,-88.145,NA
680,39.427,-89.31,IL-C
690,39.427,-89.31,NA
680,39.494,-87.652,IL-C
701,39.494,-87.652,NA
680,39.516,-89.19200000000001,IL-C
690,39.516,-89.19200000000001,NA
680,39.577,-89.29799999999999,IL-C
690,39.577,-89.29799999999999,NA
680,39.578,-88.145,IL-C
704,39.578,-88.145,NA
680,39.589,-88.10700000000001,IL-C
704,39.589,-88.10700000000001,NA
680,39.617,-89.199,IL-C
690,39.617,-89.199,NA
680,39.644,-88.31700000000001,IL-C
704,39.644,-88.31700000000001,NA
680,39.734,-89.164,IL-C
690,39.734,-89.164,NA
680,39.735,-87.846,IL-C
701,39.735,-87.846,NA
680,39.745,-89.333,IL-C
690,39.745,-89.333,NA
680,39.793,-88.87,IL-C
690,39.793,-88.87,NA
680,39.8,-89.64299999999999,IL-C
687,39.8,-89.64299999999999,NA
709,39.8,-89.64299999999999,NA
710,39.8,-89.64299999999999,NA
730,39.8,-89.64299999999999,NA
680,39.821,-87.602,IL-C
701,39.821,-87.602,NA
680,39.873000000000005,-88.564,IL-C
684,39.873000000000005,-88.564,NA
680,39.88,-89.335,IL-C
687,39.88,-89.335,NA
709,39.88,-89.335,NA
710,39.88,-89.335,NA
680,40.361999999999995,-88.368,IL-C
684,40.361999999999995,-88.368,NA
680,40.442,-89.565,IL-C
687,40.442,-89.565,NA
